company_name,valuation,country,industry,ipo_status,data_source,estimated_ipo_score,readiness_tier
OpenAI,$157B,USA,AI,Private Unicorn,Curated (Verified),80,IPO-Ready (12-18mo)
Anthropic,$60B,USA,AI,Private Unicorn,Curated (Verified),80,IPO-Ready (12-18mo)
xAI,$50B,USA,AI,Private Unicorn,Curated (Verified),80,IPO-Ready (12-18mo)
Databricks,$62B,USA,Data/AI,Private Unicorn,Curated (Verified),80,IPO-Ready (12-18mo)
Scale AI,$14B,USA,AI,Private Unicorn,Curated (Verified),75,Near-Term (18-24mo)
Hugging Face,$4.5B,USA,AI,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Perplexity AI,$9B,USA,AI,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Groq,$2.8B,USA,AI Hardware,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Mistral AI,$6B,FRA,AI,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Stripe,$65B,USA,Fintech,Private Unicorn,Curated (Verified),75,Near-Term (18-24mo)
Revolut,$45B,UK,Fintech,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Klarna,$14.6B,SWE,Fintech,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Plaid,$13.4B,USA,Fintech,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Chime,$25B,USA,Fintech,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
SpaceX,$350B,USA,Space,Private Unicorn,Curated (Verified),80,IPO-Ready (12-18mo)
Anduril,$14B,USA,Defense Tech,Private Unicorn,Curated (Verified),75,Near-Term (18-24mo)
Shield AI,$2.8B,USA,Defense Tech,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Relativity Space,$4.2B,USA,Space,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Canva,$26B,AUS,SaaS,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Figma,$12.5B,USA,Design,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Notion,$10B,USA,Productivity,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Discord,$15B,USA,Social,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Airtable,$11B,USA,SaaS,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Tempus,$8.1B,USA,Biotech,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Insitro,$2.4B,USA,Biotech/AI,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Recursion,$3B,USA,Biotech/AI,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
Cerebras,$4B,USA,AI Chips,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
SambaNova,$5B,USA,AI Chips,Private Unicorn,Curated (Verified),70,Near-Term (18-24mo)
Graphcore,$2.8B,UK,AI Chips,Private Unicorn,Curated (Verified),65,Near-Term (18-24mo)
