Field,Quantum Computing (cross-tagged with AI),Quantum Sensing & Metrology,Quantum Communication / Quantum Internet,"Next-Gen Photonics (lasers, fiber optics)",Terahertz & Infrared Imaging,Atomic Clocks & Precision Measurement
Total of Firms Number (North America),160,160,160,160,160,160
Total Number of Firms (Canada),27,27,27,27,27,27
Total Number of Firms (U.S ),122,122,122,122,122,122
Total Number of Firms (Mexico),10,10,10,10,10,10
Startup Stage (North America),120,120,120,120,120,120
Startup Stage (Canada),20,20,20,20,20,20
Startup Stage (U.S),91,91,91,91,91,91
Startup Stage (Mexico),7,7,7,7,7,7
Public (North America),35,35,35,35,35,35
Public (Canada),33,33,33,33,33,33
Public (U.S),36,36,36,36,36,36
Public (Mexico),32,32,32,32,32,32
Private (North America),65,65,65,65,65,65
Private (Canada),67,67,67,67,67,67
Private (U.S),64,64,64,64,64,64
Private (Mexico),68,68,68,68,68,68
# Patents (North America),1600,1600,1600,1600,1600,1600
# Patents (Canada),20,20,20,20,20,20
# Patents (U.S),72,72,72,72,72,72
% Patents (Mexico vs North America) ,8,8,8,8,8,8
Vertical Intergration ,Medium-High,Medium-High,Medium-High,Medium-High,Medium-High,Medium-High
Competitive Advantage (North America),Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem
Competitive Advantage (Canada),Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support
Competitive Advantage (U.S),Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access
Competitive Advantage (Mexico),Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage
Cost Advantage (North America) ,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs
Cost Advantage (Canada) ,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives
Cost Advantage (Mexico),Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs
Differentiation Advantage (North America),Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership
Differentiation Advantage (Canada),Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration
Differentiation Advantage (Mexico),Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub
Vertical Intergration Opportunities (North America),Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development
Vertical Intergration Opportunities  (Canada),Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline
Vertical Intergration Opportunities  (Mexico),Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration
Diversification Strategy/Opportunities (North America),Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence
Diversification Strategy/Opportunities (Canada),Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration
Diversification Strategy/Opportunities (Mexico),Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0
