Field,Nanotechnology,Metamaterials,Smart Materials & Polymers,3D Printing / Additive Manufacturing,Advanced Composites,Bio-Inspired & Sustainable Materials
Total of Firms Number (North America),750,750,750,750,750,750
Total Number of Firms (Canada),90,90,90,90,90,90
Total Number of Firms (U.S ),600,600,600,600,600,600
Total Number of Firms (Mexico),60,60,60,60,60,60
Startup Stage (North America),525,525,525,525,525,525
Startup Stage (Canada),62,62,62,62,62,62
Startup Stage (U.S),420,420,420,420,420,420
Startup Stage (Mexico),42,42,42,42,42,42
Public (North America),22,22,22,22,22,22
Public (Canada),20,20,20,20,20,20
Public (U.S),23,23,23,23,23,23
Public (Mexico),19,19,19,19,19,19
Private (North America),78,78,78,78,78,78
Private (Canada),80,80,80,80,80,80
Private (U.S),77,77,77,77,77,77
Private (Mexico),81,81,81,81,81,81
# Patents (North America),3400,3400,3400,3400,3400,3400
# Patents (Canada),15,15,15,15,15,15
# Patents (U.S),78,78,78,78,78,78
% Patents (Mexico vs North America) ,7,7,7,7,7,7
Vertical Intergration ,Medium-High,Medium-High,Medium-High,Medium-High,Medium-High,Medium-High
Competitive Advantage (North America),Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem
Competitive Advantage (Canada),Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support
Competitive Advantage (U.S),Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access
Competitive Advantage (Mexico),Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage
Cost Advantage (North America) ,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs
Cost Advantage (Canada) ,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives
Cost Advantage (Mexico),Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs
Differentiation Advantage (North America),Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership
Differentiation Advantage (Canada),Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration
Differentiation Advantage (Mexico),Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub
Vertical Intergration Opportunities (North America),Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development
Vertical Intergration Opportunities  (Canada),Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline
Vertical Intergration Opportunities  (Mexico),Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration
Diversification Strategy/Opportunities (North America),Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence
Diversification Strategy/Opportunities (Canada),Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration
Diversification Strategy/Opportunities (Mexico),Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0
