Field,Artificial Intelligence & Machine Learning,Quantum Computing (cross-tagged),Neuromorphic & Edge Computing,High-Performance Computing (HPC),Vision–Language & Multi-Modal Models,Cognitive Architectures & Reasoning Systems,Autonomous Decision-Making Systems
Total of Firms Number (North America),21500,10750,5375,7524,9675,4300,6450
Total Number of Firms (Canada),420,210,105,147,189,84,126
Total Number of Firms (U.S ),20800,10400,5200,7279,9360,4160,6240
Total Number of Firms (Mexico),280,140,70,98,126,56,84
Startup Stage (North America),16125,8062,4031,5643,7256,3225,4837
Startup Stage (Canada),315,157,78,110,141,63,94
Startup Stage (U.S),15600,7800,3900,5459,7020,3120,4680
Startup Stage (Mexico),210,105,52,73,94,42,63
Public (North America),18,18,18,18,18,18,18
Public (Canada),16,16,16,16,16,16,16
Public (U.S),19,19,19,19,19,19,19
Public (Mexico),15,15,15,15,15,15,15
Private (North America),82,82,82,82,82,82,82
Private (Canada),84,84,84,84,84,84,84
Private (U.S),81,81,81,81,81,81,81
Private (Mexico),85,85,85,85,85,85,85
# Patents (North America),15200,7600,3800,5320,6840,3040,4560
# Patents (Canada),12,12,12,12,12,12,12
# Patents (U.S),82,82,82,82,82,82,82
% Patents (Mexico vs North America) ,6,6,6,6,6,6,6
Vertical Intergration ,Medium-High,Medium-High,Medium-High,Medium-High,Medium-High,Medium-High,Medium-High
Competitive Advantage (North America),Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem
Competitive Advantage (Canada),Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support
Competitive Advantage (U.S),Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access
Competitive Advantage (Mexico),Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage
Cost Advantage (North America) ,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs
Cost Advantage (Canada) ,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives
Cost Advantage (Mexico),Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs
Differentiation Advantage (North America),Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership
Differentiation Advantage (Canada),Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration
Differentiation Advantage (Mexico),Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub
Vertical Intergration Opportunities (North America),Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development
Vertical Intergration Opportunities  (Canada),Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline
Vertical Intergration Opportunities  (Mexico),Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration
Diversification Strategy/Opportunities (North America),Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence
Diversification Strategy/Opportunities (Canada),Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration
Diversification Strategy/Opportunities (Mexico),Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0
